id	layer	check	verdict	subject	evidence	autofix	action
C1-b8c46f	conservation	C1	IDENTISCH	72 source artefacts	all present in fsh-generated, matched by id or canonical url (source: fsh-generated/resources)	-	-
C2-82d250	conservation	C2	IDENTISCH	output/de (73 artefacts)	every generated resource is rendered and listed in artifacts.html	-	-
C2-abb7e3	conservation	C2	IDENTISCH	output/en (73 artefacts)	every generated resource is rendered and listed in artifacts.html	-	-
C3-2e4ab3	conservation	C3	IDENTISCH	BeschreibungvonSzenarienfrdieAnwendungderModule.page.md	migrated -> input/pagecontent/guidance.md (input/pagecontent/guidance.md)	-	-
C3-44193b	conservation	C3	IDENTISCH	Datensaetze_inkl._Beschreibungen.page.md	migrated -> input/pagecontent/logical-models.md (input/pagecontent/logical-models.md)	-	-
C3-d2d566	conservation	C3	IDENTISCH	AnwendungsflleInformationsmodell/Index.page.md	retired: Quellseite absichtlich leer ("Diese Seite wurde absichtlich leer gelassen") — kein Inhalt zu migrieren (agent-korrigiert, Gate-B-Review ausstehend)	-	-
C3-38beb1	conservation	C3	IDENTISCH	UML/Index.page.md	migrated -> input/pagecontent/uml-diagrams.md (input/pagecontent/uml-diagrams.md)	-	-
C3-062bea	conservation	C3	IDENTISCH	UML_Befund.page.md	migrated -> input/pagecontent/uml-diagrams.md (input/pagecontent/uml-diagrams.md)	-	-
C3-9a1bfb	conservation	C3	IDENTISCH	UML_Meta.page.md	migrated -> input/pagecontent/uml-diagrams.md (input/pagecontent/uml-diagrams.md)	-	-
C3-1d126d	conservation	C3	IDENTISCH	BeschreibungModul.page.md	migrated -> input/pagecontent/index.md (input/pagecontent/index.md)	-	-
C3-f3700c	conservation	C3	IDENTISCH	MIIIGModulBildgebung/Index.page.md	migrated -> input/pagecontent/index.md (input/pagecontent/index.md)	-	-
C3-c7063c	conservation	C3	IDENTISCH	KontextimGesamtprojektBezgezuanderenModulen.page.md	migrated -> input/pagecontent/implementer-guidance.md (input/pagecontent/implementer-guidance.md)	-	-
C3-b75bba	conservation	C3	IDENTISCH	Referenzen.page.md	migrated -> input/pagecontent/implementer-guidance.md (input/pagecontent/implementer-guidance.md)	-	-
C3-126e79	conservation	C3	IDENTISCH	Release-Notes.page.md	migrated -> input/pagecontent/changes.md (input/pagecontent/changes.md)	-	-
C3-32eff4	conservation	C3	IDENTISCH	CapabilityStatement.page.md	migrated -> input/pagecontent/capability-statements.md (input/pagecontent/capability-statements.md)	-	-
C3-d58f1b	conservation	C3	IDENTISCH	Conformance.page.md	retired: MII-weiter Conformance-Boilerplate (Conformance verbs, Must Support, Fehlende Daten) — Cluster ist link-only zum Meta-Modul (spec 9a: MII-wide conformance rules are NOT restated in a module); Menue verlinkt die kanonische Quelle (agent-korrigiert, Gate-B-Review ausstehend) TODO:REVIEW Gate B	-	-
C3-305284	conservation	C3	IDENTISCH	BodyStructure.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-bildgebung-koerperstruktur-intro.md (input/intro-notes/StructureDefinition-mii-pr-bildgebung-koerperstruktur-intro.md)	-	-
C3-513156	conservation	C3	IDENTISCH	CarePlan.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-bildgebung-behandlungsempfehlung-intro.md (input/intro-notes/StructureDefinition-mii-pr-bildgebung-behandlungsempfehlung-intro.md)	-	-
C3-2db2b3	conservation	C3	IDENTISCH	Composition.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-bildgebung-semistrukt-befundbericht-intro.md (input/intro-notes/StructureDefinition-mii-pr-bildgebung-semistrukt-befundbericht-intro.md)	-	-
C3-28ab82	conservation	C3	IDENTISCH	ContrastAdministration.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-bildgebung-kontrastmittelgabe-intro.md (input/intro-notes/StructureDefinition-mii-pr-bildgebung-kontrastmittelgabe-intro.md)	-	-
C3-6bfb37	conservation	C3	IDENTISCH	Device.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-bildgebung-geraet-intro.md (input/intro-notes/StructureDefinition-mii-pr-bildgebung-geraet-intro.md)	-	-
C3-dada0d	conservation	C3	IDENTISCH	DiagnosticReport.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-bildgebung-radiologischer-befund-intro.md (input/intro-notes/StructureDefinition-mii-pr-bildgebung-radiologischer-befund-intro.md)	-	-
C3-02209e	conservation	C3	IDENTISCH	ImagingProcedure.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-bildgebung-bildgebungsprozedur-intro.md (input/intro-notes/StructureDefinition-mii-pr-bildgebung-bildgebungsprozedur-intro.md)	-	-
C3-c99a99	conservation	C3	IDENTISCH	Extension-CT.page.md	migrated -> input/intro-notes/StructureDefinition-mii-ex-bildgebung-modalitaet-ct-intro.md (input/intro-notes/StructureDefinition-mii-ex-bildgebung-modalitaet-ct-intro.md)	-	-
C3-58a242	conservation	C3	IDENTISCH	Extension-Height.page.md	migrated -> input/intro-notes/StructureDefinition-mii-ex-bildgebung-groesse-intro.md (input/intro-notes/StructureDefinition-mii-ex-bildgebung-groesse-intro.md)	-	-
C3-a7983d	conservation	C3	IDENTISCH	Extension-ImagingReason.page.md	migrated -> input/intro-notes/StructureDefinition-mii-ex-bildgebung-bildgebungsgrund-intro.md (input/intro-notes/StructureDefinition-mii-ex-bildgebung-bildgebungsgrund-intro.md)	-	-
C3-41d25e	conservation	C3	IDENTISCH	Extension-MG_CR_DX.page.md	migrated -> input/intro-notes/StructureDefinition-mii-ex-bildgebung-modalitaet-mg-cr-dx-intro.md (input/intro-notes/StructureDefinition-mii-ex-bildgebung-modalitaet-mg-cr-dx-intro.md)	-	-
C3-4fb526	conservation	C3	IDENTISCH	Extension-MR.page.md	migrated -> input/intro-notes/StructureDefinition-mii-ex-bildgebung-modalitaet-mr-intro.md (input/intro-notes/StructureDefinition-mii-ex-bildgebung-modalitaet-mr-intro.md)	-	-
C3-78fb2d	conservation	C3	IDENTISCH	Extension-NM.page.md	migrated -> input/intro-notes/StructureDefinition-mii-ex-bildgebung-modalitaet-nm-intro.md (input/intro-notes/StructureDefinition-mii-ex-bildgebung-modalitaet-nm-intro.md)	-	-
C3-1a2b9b	conservation	C3	IDENTISCH	Extension-PT.page.md	migrated -> input/intro-notes/StructureDefinition-mii-ex-bildgebung-modalitaet-pt-intro.md (input/intro-notes/StructureDefinition-mii-ex-bildgebung-modalitaet-pt-intro.md)	-	-
C3-c882f3	conservation	C3	IDENTISCH	Extension-US.page.md	migrated -> input/intro-notes/StructureDefinition-mii-ex-bildgebung-modalitaet-us-intro.md (input/intro-notes/StructureDefinition-mii-ex-bildgebung-modalitaet-us-intro.md)	-	-
C3-4ab633	conservation	C3	IDENTISCH	Extension-Weight.page.md	migrated -> input/intro-notes/StructureDefinition-mii-ex-bildgebung-gewicht-intro.md (input/intro-notes/StructureDefinition-mii-ex-bildgebung-gewicht-intro.md)	-	-
C3-a02b34	conservation	C3	IDENTISCH	Extension-instance-details.page.md	migrated -> input/intro-notes/StructureDefinition-mii-ex-bildgebung-instanz-details-intro.md (input/intro-notes/StructureDefinition-mii-ex-bildgebung-instanz-details-intro.md)	-	-
C3-e34c92	conservation	C3	IDENTISCH	Extension-series-contrast.page.md	migrated -> input/intro-notes/StructureDefinition-mii-ex-bildgebung-kontrastmittel-intro.md (input/intro-notes/StructureDefinition-mii-ex-bildgebung-kontrastmittel-intro.md)	-	-
C3-dee4fe	conservation	C3	IDENTISCH	Extension-series-sliceThickness.page.md	migrated -> input/intro-notes/StructureDefinition-mii-ex-bildgebung-serie-schichtdicke-intro.md (input/intro-notes/StructureDefinition-mii-ex-bildgebung-serie-schichtdicke-intro.md)	-	-
C3-19aaa9	conservation	C3	IDENTISCH	ImagingStudy/Index.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-bildgebung-bildgebungsstudie-intro.md (input/intro-notes/StructureDefinition-mii-pr-bildgebung-bildgebungsstudie-intro.md)	-	-
C3-880292	conservation	C3	IDENTISCH	FHIR-Profile/Index.page.md	migrated -> input/pagecontent/profiles.md (input/pagecontent/profiles.md)	-	-
C3-6ec21e	conservation	C3	IDENTISCH	Messung/Extension-SOPInstanceUID.page.md	migrated -> input/intro-notes/StructureDefinition-mii-ex-bildgebung-sop-instanz-uid-intro.md (input/intro-notes/StructureDefinition-mii-ex-bildgebung-sop-instanz-uid-intro.md)	-	-
C3-49aee3	conservation	C3	IDENTISCH	Messung/Extension-SeriesUID.page.md	migrated -> input/intro-notes/StructureDefinition-mii-ex-bildgebung-serie-uid-intro.md (input/intro-notes/StructureDefinition-mii-ex-bildgebung-serie-uid-intro.md)	-	-
C3-6bd3e3	conservation	C3	IDENTISCH	Messung/Index.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-bildgebung-radiologische-messung-intro.md (input/intro-notes/StructureDefinition-mii-pr-bildgebung-radiologische-messung-intro.md)	-	-
C3-8be5d3	conservation	C3	IDENTISCH	Observation/Extension-SOPInstanceUID.page.md	migrated -> input/intro-notes/StructureDefinition-mii-ex-bildgebung-sop-instanz-uid-intro.md (input/intro-notes/StructureDefinition-mii-ex-bildgebung-sop-instanz-uid-intro.md)	-	-
C3-2ecead	conservation	C3	IDENTISCH	Observation/Extension-SeriesUID.page.md	migrated -> input/intro-notes/StructureDefinition-mii-ex-bildgebung-serie-uid-intro.md (input/intro-notes/StructureDefinition-mii-ex-bildgebung-serie-uid-intro.md)	-	-
C3-261594	conservation	C3	IDENTISCH	Observation/Index.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-bildgebung-radiologische-beobachtung-intro.md (input/intro-notes/StructureDefinition-mii-pr-bildgebung-radiologische-beobachtung-intro.md)	-	-
C3-fb0c3f	conservation	C3	IDENTISCH	ReadProcedure.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-bildgebung-radiologische-befundungsprozedur-intro.md (input/intro-notes/StructureDefinition-mii-pr-bildgebung-radiologische-befundungsprozedur-intro.md)	-	-
C3-c4e740	conservation	C3	IDENTISCH	ServiceRequest.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-bildgebung-anforderung-bildgebung-intro.md (input/intro-notes/StructureDefinition-mii-pr-bildgebung-anforderung-bildgebung-intro.md)	-	-
C3-a05594	conservation	C3	IDENTISCH	TNMRadiologicalReadProcedure.page.md	retired: Profil mii-pr-bildgebung-TNM-radiologische-befundungsprozedur wurde auf main entfernt (Commit "Delete TNM Procedure Draft Profile", 2026-08-14) — Seite ist verwaist, kein Zielartefakt (agent-korrigiert, Gate-B-Review ausstehend) TODO:REVIEW Gate B	-	-
C3-2fe7d8	conservation	C3	IDENTISCH	TechnischeImplementierung/Index.page.md	retired: Quellseite absichtlich leer ("Diese Seite wurde absichtlich leer gelassen") — kein Inhalt zu migrieren (agent-korrigiert, Gate-B-Review ausstehend)	-	-
C3-d04b32	conservation	C3	IDENTISCH	Terminologien.page.md	migrated -> input/pagecontent/code-systems.md (input/pagecontent/code-systems.md)	-	-
C4-7b2767	conservation	C4	NICHT PRUEFBAR	AnwendungsflleInformationsmodell/Index.page.md	the source page carries NO prose -- 0 generated table row(s) only	-	conservation of a generated view is not a text question; confirm the artefact page replaces it (R1)
C4-811435	conservation	C4	DIVERGIERT	BeschreibungModul.page.md	1 of 39 PROSE runs of the source page are in no target page (first: Instanzebene Dafür wurde sich an der internationalen FHIR-Re…)	-	map the missing text to a target page section, or record the loss in the report's content map
