# source_page	target	reason	branch	measure
# page-map v2 - GENERATED by page-structure-advice.py v1.3.0, agent-reviewed 2026-08-27 (Ziele korrigiert: Profil-/Extension-Seiten -> Intro-Notes, leere Indexseiten RETIRED, TNM-Seite RETIRED); Gate-B-Review ausstehend.
# branch: spec 9e routing branch 1-4; 5 = RETIRED (non-authoritative guide tree / kein Inhalt / verwaist).
MIIIGModulBildgebung/Index.page.md	input/pagecontent/index.md	an agreed page already owns the concern	3	agreed page named index exists in the target
MIIIGModulBildgebung/Release-Notes.page.md	input/pagecontent/changes.md	semantic home per references/routing-table.tsv	3	semantic match releasenotes -> changes (routing-table)
MIIIGModulBildgebung/BeschreibungModul.page.md	input/pagecontent/index.md	semantic home per references/routing-table.tsv	3	semantic match beschreibungmodul -> index (routing-table)
MIIIGModulBildgebung/KontextimGesamtprojektBezgezuanderenModulen.page.md	input/pagecontent/implementer-guidance.md	semantic home per references/routing-table.tsv	3	semantic match kontextimgesamtprojekt -> implementer-guidance (routing-table)
MIIIGModulBildgebung/Referenzen.page.md	input/pagecontent/implementer-guidance.md	semantic home per references/routing-table.tsv	3	semantic match referenzen -> implementer-guidance (routing-table)
MIIIGModulBildgebung/AnwendungsflleInformationsmodell/Index.page.md	RETIRED	Quellseite absichtlich leer ("Diese Seite wurde absichtlich leer gelassen") — kein Inhalt zu migrieren (agent-korrigiert, Gate-B-Review ausstehend)	5	nav-only stub, 13 words
MIIIGModulBildgebung/AnwendungsflleInformationsmodell/BeschreibungvonSzenarienfrdieAnwendungderModule.page.md	input/pagecontent/guidance.md	semantic home per references/routing-table.tsv	3	semantic match szenarien -> guidance (routing-table)
MIIIGModulBildgebung/AnwendungsflleInformationsmodell/Datensaetze_inkl._Beschreibungen.page.md	input/pagecontent/logical-models.md	Datensatz-Narrativ + LM-Rendering gehoeren auf logical-models (spec 9a: datasets-and-descriptions ist link-only)	3	semantic match datensaetze -> logical-models (routing-table)
MIIIGModulBildgebung/AnwendungsflleInformationsmodell/UML/Index.page.md	input/pagecontent/uml-diagrams.md	UML-Narrativ + Diagramme gehoeren auf die UML-Seite des Templates (agent-korrigiert, Gate-B-Review ausstehend)	3	UML-Prosa mit 2 render-Direktiven; kein eigener Hub noetig (Template-Seite existiert)
MIIIGModulBildgebung/AnwendungsflleInformationsmodell/UML/UML_Meta.page.md	input/pagecontent/uml-diagrams.md	semantic home per references/routing-table.tsv	3	semantic match uml -> uml-diagrams (routing-table)
MIIIGModulBildgebung/AnwendungsflleInformationsmodell/UML/UML_Befund.page.md	input/pagecontent/uml-diagrams.md	semantic home per references/routing-table.tsv	3	semantic match uml -> uml-diagrams (routing-table)
